bin	bins_n	phylum
'LIB-MJ347-D11_04_v_LIB-MJ368-D11_03.23'	1	Eremiobacterota
'LIB-MJ383-G7_01.7'	1	Eremiobacterota
'LIB-MJ256-C4_03.17'	6	Eremiobacterota
'LIB-MJ048-A2_04.14'	31	Eremiobacterota
'LIB-MJ390-C9_03.9'	5	Chloroflexota
'LIB-MJ383-H6_01.17'	4	Eremiobacterota
'LIB-MJ201-D9_03.5'	1	Eremiobacterota
'LIB-MJ383-B8_01.14'	17	Eremiobacterota
'LIB-MJ339-C9_03.105'	7	Eremiobacterota
'LIB-MJ339-D4_03.34'	2	Eremiobacterota
'LIB-MJ175-B8_02_v_LIB-MJ368-B8_01.24'	1	Eremiobacterota
'LIB-MJ251-B1_04_v_LIB-MJ409-G7_01.4'	1	Eremiobacterota
'LIB-MJ198-F6_03.13'	35	Eremiobacterota
'LIB-MJ134-C6_03.39'	3	Eremiobacterota
'LIB-MJ132-C9_03.29'	4	Eremiobacterota
'LIB-MJ054-E4_03.2'	19	Eremiobacterota
'LIB-MJ352-F4_03_v_LIB-MJ368-F4_01.29'	1	Eremiobacterota
'LIB-MJ134-B2_03.14'	2	Eremiobacterota
'LIB-MJ389-C5_03.2'	1	Bacteroidota
'LIB-MJ134-C6_03.20'	2	Eremiobacterota
'LIB-MJ050-H8_02.16'	3	Eremiobacterota
'LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.39'	1	Eremiobacterota
'LIB-MJ352-F6_03_v_LIB-MJ368-F6_01.46'	1	Eremiobacterota
'LIB-MJ106-A7_01.13'	1	Eremiobacterota
'LIB-MJ174-C4_01.7'	1	Eremiobacterota
'LIB-MJ051-C11_02.18'	1	Eremiobacterota
'LIB-MJ337-B10_03.4'	2	Eremiobacterota
'LIB-MJ134-A3_03.9'	2	Eremiobacterota
'LIB-MJ380-F1_03.13'	4	Eremiobacterota
'LIB-MJ334-D7_01.17'	3	Patescibacteria
'LIB-MJ110-G8_04_v_LIB-MJ415-H2_04.1'	1	Chloroflexota
'LIB-MJ337-C9_03.68'	1	Eremiobacterota
'LIB-MJ380-B1_03.10'	1	Eremiobacterota
'LIB-MJ338-D1_04.36'	3	Eremiobacterota
'LIB-MJ339-D4_03.52'	3	Eremiobacterota
'LIB-MJ259-D6_04.1'	18	Eremiobacterota
'LIB-MJ215-H1_01_v_LIB-MJ409-G9_01.7'	1	Eremiobacterota
'LIB-MJ251-B1_04_v_LIB-MJ409-G7_01.10'	2	Eremiobacterota
'LIB-MJ259-G5_04.21'	1	Eremiobacterota
'LIB-MJ346-D8_02_v_LIB-MJ365-D8_04.13'	1	Eremiobacterota
'LIB-MJ149-G9_03.16'	1	Eremiobacterota
'LIB-MJ226-F6_01.28'	1	Acidobacteriota
'LIB-MJ337-F9_03.24'	1	Acidobacteriota
'LIB-MJ388-B2_02.31'	1	Gemmatimonadota
'LIB-MJ390-D8_03.11'	1	Desulfobacterota
'LIB-MJ390-F9_03.13'	1	Patescibacteria
'LIB-MJ335-A6_02.5'	1	Desulfobacterota_F
'LIB-MJ305-G11_04.30'	2	Patescibacteria
'LIB-MJ390-B7_03.85'	4	Patescibacteria
'LIB-MJ305-F8_04.9'	1	Patescibacteria
'LIB-MJ334-E10_01.38'	2	Verrucomicrobiota
'LIB-MJ385-C1_04.10'	1	Nitrospirota
'LIB-MJ334-B11_01.26'	1	Verrucomicrobiota
'LIB-MJ384-B11_01.2'	1	Planctomycetota
'LIB-MJ389-E5_03.19'	1	Planctomycetota
'LIB-MJ259-D3_04.9'	2	Chloroflexota
'LIB-MJ134-B10_03.10'	1	Planctomycetota
'LIB-MJ390-G4_03.6'	1	Planctomycetota
'LIB-MJ132-B11_03.23'	1	Acidobacteriota
'LIB-MJ307-H11_01.5'	1	Acidobacteriota
'LIB-MJ054-B2_03.1'	1	Acidobacteriota
'LIB-MJ130-H7_01.1'	1	Acidobacteriota
'LIB-MJ381-G2_02.16'	2	Acidobacteriota
'LIB-MJ132-F11_03.1'	2	Acidobacteriota
'LIB-MJ228-H5_01.5'	2	Acidobacteriota
'LIB-MJ054-B2_03.5'	1	Acidobacteriota
'LIB-MJ131-E7_01.20'	1	Acidobacteriota
'LIB-MJ134-F9_03.2'	1	Acidobacteriota
'LIB-MJ138-C8_03.2'	1	Chloroflexota
'LIB-MJ130-B3_01.1'	1	Acidobacteriota
'LIB-MJ193-H6_01.13'	1	Acidobacteriota
'LIB-MJ172-F6_04.13'	1	Acidobacteriota
'LIB-MJ132-B11_03.15'	2	Acidobacteriota
'LIB-MJ140-A8_02.1'	1	Acidobacteriota
'LIB-MJ307-H11_01.14'	1	Acidobacteriota
'LIB-MJ389-E6_03.7'	1	Acidobacteriota
'LIB-MJ354-A7_04_v_LIB-MJ403-A4_03.8'	1	Acidobacteriota
'LIB-MJ131-B8_01.1'	1	Acidobacteriota
'LIB-MJ107-B6_02_v_LIB-MJ367-B6_03.5'	2	Acidobacteriota
'LIB-MJ105-G3_01_v_LIB-MJ367-G3_04.39'	1	Acidobacteriota
'LIB-MJ307-H11_01.21'	1	Chloroflexota
'LIB-MJ282-B5_03.16'	1	Acidobacteriota
'LIB-MJ105-C8_01_v_LIB-MJ367-C8_04.29'	2	Acidobacteriota
'LIB-MJ110-B8_04_v_LIB-MJ415-E2_04.12'	2	Acidobacteriota
'LIB-MJ227-E5_02.29'	1	Acidobacteriota
'LIB-MJ174-C9_01.8'	1	Acidobacteriota
'LIB-MJ174-B1_01.8'	1	Acidobacteriota
'LIB-MJ388-B2_02.15'	4	Acidobacteriota
'LIB-MJ390-E8_03.80'	3	Acidobacteriota
'LIB-MJ380-A3_03.19'	1	Acidobacteriota
'LIB-MJ390-D1_03.58'	7	Acidobacteriota
'LIB-MJ386-H6_04.19'	2	Acidobacteriota
'LIB-MJ413-A7_01.24'	1	Acidobacteriota
'LIB-MJ388-B2_02.41'	2	Acidobacteriota
'LIB-MJ389-F5_03.32'	3	Acidobacteriota
'LIB-MJ386-H6_04.17'	3	Chloroflexota
'LIB-MJ383-D3_01.43'	2	Acidobacteriota
'LIB-MJ380-A3_03.15'	1	Acidobacteriota
'LIB-MJ386-H6_04.4'	1	Acidobacteriota
'LIB-MJ382-A10_02.1'	2	Acidobacteriota
'LIB-MJ385-A8_04.5'	23	Acidobacteriota
'LIB-MJ131-H4_01.15'	1	Acidobacteriota
'LIB-MJ305-H3_04.8'	4	Nitrospirota
'LIB-MJ334-C9_01.14'	3	Nitrospirota
'LIB-MJ413-E5_01.39'	1	Nitrospirota
'LIB-MJ305-E4_04.31'	1	Nitrospirota
'LIB-MJ231-F11_04.19'	1	Verrucomicrobiota
'LIB-MJ336-B6_02.18'	1	Verrucomicrobiota
'LIB-MJ194-G3_04.7'	3	Verrucomicrobiota
'LIB-MJ088-E6_04_v_LIB-MJ365-E6_02.11'	10	Verrucomicrobiota
'LIB-MJ256-E3_03.14'	1	Verrucomicrobiota
'LIB-MJ307-H11_01.37'	1	Chloroflexota
'LIB-MJ109-H3_01.14'	3	Verrucomicrobiota
'LIB-MJ199-C1_04.8'	1	Verrucomicrobiota
'LIB-MJ337-H7_03.19'	1	Verrucomicrobiota
'LIB-MJ192-A6_04.10'	1	Verrucomicrobiota
'LIB-MJ385-B10_04.20'	1	Verrucomicrobiota
'LIB-MJ214-A11_02.9'	5	Verrucomicrobiota
'LIB-MJ229-C4_03.2'	2	Verrucomicrobiota
'LIB-MJ139-H9_01.2'	4	Verrucomicrobiota
'LIB-MJ138-H3_03.4'	2	Verrucomicrobiota
'LIB-MJ352-G5_03_v_LIB-MJ368-G5_01.15'	2	Verrucomicrobiota
'LIB-MJ214-H10_02.5'	2	Verrucomicrobiota
'LIB-MJ390-D8_03.20'	11	Chloroflexota
'LIB-MJ262-C6_03.16'	2	Verrucomicrobiota
'LIB-MJ280-H10_02.6'	1	Verrucomicrobiota
'LIB-MJ280-D1_02.8'	1	Verrucomicrobiota
'LIB-MJ337-H7_03.21'	3	Verrucomicrobiota
'LIB-MJ050-G10_02.9'	1	Verrucomicrobiota
'LIB-MJ140-G7_02.11'	2	Verrucomicrobiota
'LIB-MJ171-A10_04.9'	2	Verrucomicrobiota
'LIB-MJ167-D1_02.9'	1	Verrucomicrobiota
'LIB-MJ228-B2_01.5'	3	Verrucomicrobiota
'LIB-MJ216-B8_02.4'	2	Verrucomicrobiota
'LIB-MJ340-G6_01_v_LIB-MJ367-G6_04.17'	2	Verrucomicrobiota
'LIB-MJ380-G3_03.8'	3	Chloroflexota
'LIB-MJ092-H4_01.5'	4	Verrucomicrobiota
'LIB-MJ196-G4_02_v_LIB-MJ366-G4_04.44'	4	Verrucomicrobiota
'LIB-MJ198-A11_03.9'	2	Verrucomicrobiota
'LIB-MJ105-G10_01.2'	2	Verrucomicrobiota
'LIB-MJ339-H4_03.19'	2	Verrucomicrobiota
'LIB-MJ044-F1_03.15'	1	Verrucomicrobiota
'LIB-MJ336-H11_02.11'	1	Verrucomicrobiota
'LIB-MJ390-D5_03.37'	1	Verrucomicrobiota
'LIB-MJ192-F7_04.19'	2	Verrucomicrobiota
'LIB-MJ192-H8_04.14'	2	Verrucomicrobiota
'LIB-MJ146-C6_01.19'	1	Verrucomicrobiota
'LIB-MJ280-D1_02.6'	1	Verrucomicrobiota
'LIB-MJ337-H7_03.11'	1	Verrucomicrobiota
'LIB-MJ139-E5_01.55'	51	Verrucomicrobiota
'LIB-MJ226-H10_01.1'	1	Verrucomicrobiota
'LIB-MJ390-F9_03.68'	4	Chloroflexota
'LIB-MJ301-F5_01.35'	3	Zixibacteria
'LIB-MJ250-F11_04_v_LIB-MJ365-F11_03.10'	2	Verrucomicrobiota
'LIB-MJ198-A3_03.7'	5	Desulfobacterota_B
'LIB-MJ228-D10_01.5'	5	Desulfobacterota_B
'LIB-MJ343-B5_01.11'	2	Desulfobacterota_B
'LIB-MJ131-A3_01_v_LIB-MJ408-A6_04.6'	1	Desulfobacterota_B
'LIB-MJ259-C2_04.13'	1	Desulfobacterota_B
'LIB-MJ131-A7_01.15'	1	Desulfobacterota_B
'LIB-MJ172-B2_04.7'	1	Desulfobacterota_B
'LIB-MJ050-H3_02.24'	11	Verrucomicrobiota
'LIB-MJ105-E3_01.9'	8	Verrucomicrobiota
'LIB-MJ334-D7_01.30'	1	Patescibacteria
'LIB-MJ167-A7_02.6'	1	Chloroflexota
'LIB-MJ382-B8_02.21'	6	Verrucomicrobiota
'LIB-MJ134-B6_03.17'	2	Verrucomicrobiota
'LIB-MJ105-E8_01_v_LIB-MJ367-E8_04.8'	3	Verrucomicrobiota
'LIB-MJ091-G1_03.17'	1	Verrucomicrobiota
'LIB-MJ339-A7_03.73'	3	Verrucomicrobiota
'LIB-MJ200-A6_04.5'	9	Verrucomicrobiota
'LIB-MJ339-H7_03.22'	3	Verrucomicrobiota
'LIB-MJ108-A2_02.1'	12	Verrucomicrobiota
'LIB-MJ131-D9_01.14'	28	Verrucomicrobiota
'LIB-MJ217-E10_03.5'	1	Verrucomicrobiota
'LIB-MJ381-B2_02.13'	1	Chloroflexota
'LIB-MJ051-E2_02.18'	1	Verrucomicrobiota
'LIB-MJ192-G7_04.14'	1	Verrucomicrobiota
'LIB-MJ256-G6_03.7'	1	Acidobacteriota
'LIB-MJ259-A12_04_v_LIB-MJ415-G5_04.24'	1	Acidobacteriota
'LIB-MJ227-B10_02.15'	1	Acidobacteriota
'LIB-MJ305-E7_04.17'	1	Acidobacteriota
'LIB-MJ259-G6_04.18'	5	Verrucomicrobiota
'LIB-MJ307-A2_01.26'	1	Verrucomicrobiota
'LIB-MJ334-D8_01.26'	2	Omnitrophota
'LIB-MJ413-E5_01.14'	2	Omnitrophota
'LIB-MJ230-B10_03.16'	1	Chloroflexota
'LIB-MJ108-C7_02.9'	1	Methylomirabilota
'LIB-MJ334-E10_01.18'	1	Verrucomicrobiota
'LIB-MJ305-E8_04.65'	1	Acidobacteriota
'LIB-MJ413-F9_01.6'	6	Verrucomicrobiota
'LIB-MJ413-D8_01.24'	1	Verrucomicrobiota
'LIB-MJ054-D3_03.2'	1	Margulisbacteria
'LIB-MJ145-A2_01.18'	2	Pseudomonadota
'LIB-MJ383-H7_01.31'	1	Verrucomicrobiota
'LIB-MJ301-G2_01.11'	2	Pseudomonadota
'LIB-MJ334-C9_01.37'	1	Pseudomonadota
'LIB-MJ138-C8_03.10'	1	Chloroflexota
'LIB-MJ251-C7_04.28'	1	Pseudomonadota
'LIB-MJ109-B3_01.2'	1	Verrucomicrobiota
'LIB-MJ140-B2_02.14'	1	Verrucomicrobiota
'LIB-MJ129-F1_02.5'	1	Verrucomicrobiota
'LIB-MJ307-E10_01.2'	1	Verrucomicrobiota
'LIB-MJ334-G7_01.21'	1	Planctomycetota
'LIB-MJ334-G9_01.17'	1	Patescibacteria
'LIB-MJ413-D7_01.69'	1	Acidobacteriota
'LIB-MJ195-G4_01.4'	1	Acidobacteriota
'LIB-MJ413-H5_01.20'	1	Omnitrophota
'LIB-MJ390-E8_03.54'	2	Chloroflexota
'LIB-MJ386-C1_04.9'	3	Planctomycetota
'LIB-MJ334-D8_01.60'	7	Omnitrophota
'LIB-MJ334-H7_01.30'	1	Omnitrophota
'LIB-MJ334-C11_01.15'	2	Omnitrophota
'LIB-MJ091-C5_03.2'	1	Verrucomicrobiota
'LIB-MJ091-G5_03.5'	1	Verrucomicrobiota
'LIB-MJ217-E10_03.6'	1	Pseudomonadota
'LIB-MJ231-E10_04.18'	1	Acidobacteriota
'LIB-MJ339-C12_03.2'	1	Acidobacteriota
'LIB-MJ230-E7_03.10'	1	Acidobacteriota
'LIB-MJ259-G10_04.3'	1	Acidobacteriota
'LIB-MJ390-E8_03.62'	3	Chloroflexota
'LIB-MJ334-D11_01.17'	1	Acidobacteriota
'LIB-MJ169-A2_01.3'	3	Pseudomonadota
'LIB-MJ390-D7_03.30'	2	Pseudomonadota
'LIB-MJ132-C5_03.4'	1	Pseudomonadota
'LIB-MJ338-B3_04.5'	1	Pseudomonadota
'LIB-MJ305-E7_04.5'	1	Pseudomonadota
'LIB-MJ262-D6_03.11'	1	Pseudomonadota
'LIB-MJ305-E4_04.2'	1	Pseudomonadota
'LIB-MJ172-H8_04.7'	1	Pseudomonadota
'LIB-MJ107-E4_02.6'	1	Pseudomonadota
'LIB-MJ048-C2_04.17'	1	Pseudomonadota
'LIB-MJ281-H10_01.1'	1	Pseudomonadota
'LIB-MJ227-G6_02.20'	2	Pseudomonadota
'LIB-MJ131-E7_01.15'	1	Pseudomonadota
'LIB-MJ390-E9_03.29'	1	Chloroflexota
'LIB-MJ132-C5_03.15'	8	Pseudomonadota
'LIB-MJ138-E5_03.6'	1	Pseudomonadota
'LIB-MJ129-D7_02.10'	1	Pseudomonadota
'LIB-MJ307-A12_01.11'	1	Pseudomonadota
'LIB-MJ301-F5_01.5'	1	Pseudomonadota
'LIB-MJ335-H4_02.4'	1	Pseudomonadota
'LIB-MJ281-H10_01.16'	1	Pseudomonadota
'LIB-MJ090-H10_04.2'	1	Pseudomonadota
'LIB-MJ305-H5_04.19'	7	Pseudomonadota
'LIB-MJ334-C12_01.31'	3	Pseudomonadota
'LIB-MJ279-F2_02.8'	1	Pseudomonadota
'LIB-MJ284-D4_03.6'	1	Pseudomonadota
'LIB-MJ050-C7_02.15'	3	Pseudomonadota
'LIB-MJ192-B2_04.17'	1	Pseudomonadota
'LIB-MJ390-F9_03.4'	2	Chloroflexota
'LIB-MJ307-E5_01.24'	1	Pseudomonadota
'LIB-MJ177-D8_03.28'	1	Pseudomonadota
'LIB-MJ341-A6_02_v_LIB-MJ367-A6_04.24'	1	Pseudomonadota
'LIB-MJ110-B3_04_v_LIB-MJ415-G1_04.14'	4	Pseudomonadota
'LIB-MJ353-C8_03_v_LIB-MJ367-C8_03.28'	1	Pseudomonadota
'LIB-MJ177-D8_03.35'	1	Pseudomonadota
'LIB-MJ092-G3_01.30'	1	Pseudomonadota
'LIB-MJ337-D4_03.36'	1	Pseudomonadota
'LIB-MJ133-H8_03.6'	1	Pseudomonadota
'LIB-MJ251-B1_04_v_LIB-MJ409-G7_01.21'	1	Pseudomonadota
'LIB-MJ380-D8_03.2'	3	Chloroflexota
'LIB-MJ413-D7_01.39'	1	Hydrogenedentota
'LIB-MJ193-G2_01.16'	1	Pseudomonadota
'LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.42'	1	Pseudomonadota
'LIB-MJ173-C6_01.46'	3	Pseudomonadota
'LIB-MJ177-H5_03.10'	1	Pseudomonadota
'LIB-MJ227-F11_02.23'	1	Pseudomonadota
'LIB-MJ307-F8_01.14'	1	Pseudomonadota
'LIB-MJ105-C8_01_v_LIB-MJ367-C8_04.40'	1	Pseudomonadota
'LIB-MJ336-E7_02.36'	1	Pseudomonadota
'LIB-MJ130-F1_01.11'	1	Pseudomonadota
'LIB-MJ226-C4_01.11'	1	Bacteroidota
'LIB-MJ413-G5_01.56'	1	Pseudomonadota
'LIB-MJ344-E9_04.31'	2	Pseudomonadota
'LIB-MJ343-H1_01_v_LIB-MJ409-C11_01.8'	1	Pseudomonadota
'LIB-MJ134-E11_03.7'	1	Pseudomonadota
'LIB-MJ352-G2_03_v_LIB-MJ368-G2_01.19'	1	Pseudomonadota
'LIB-MJ132-H6_03.15'	1	Pseudomonadota
'LIB-MJ383-H8_01.8'	7	Pseudomonadota
'LIB-MJ050-C7_02.19'	1	Pseudomonadota
'LIB-MJ337-A10_03.7'	1	Pseudomonadota
'LIB-MJ091-D9_03.8'	1	Pseudomonadota
'LIB-MJ339-D7_03.82'	2	Pseudomonadota
'LIB-MJ191-C4_04.9'	1	Chloroflexota
'LIB-MJ334-A5_01.29'	1	Bacillota_A
'LIB-MJ341-F9_02_v_LIB-MJ367-F9_04.2'	1	Pseudomonadota
'LIB-MJ352-C12_03_v_LIB-MJ368-C12_01.41'	1	Pseudomonadota
'LIB-MJ177-E10_03.28'	1	Pseudomonadota
'LIB-MJ193-G4_01.9'	3	Pseudomonadota
'LIB-MJ383-A7_01.20'	1	Pseudomonadota
'LIB-MJ193-G5_01.18'	1	Pseudomonadota
'LIB-MJ137-C12_02.4'	5	Pseudomonadota
'LIB-MJ263-A10_04.5'	1	Pseudomonadota
'LIB-MJ383-H6_01.6'	3	Pseudomonadota
'LIB-MJ200-E6_04.6'	3	Pseudomonadota
'LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.316'	1	Pseudomonadota
'LIB-MJ255-B9_02.40'	1	Pseudomonadota
'LIB-MJ413-B7_01.28'	2	Bacteroidota
'LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.137'	2	Pseudomonadota
'LIB-MJ339-C7_03.60'	3	Pseudomonadota
'LIB-MJ140-F1_02.3'	1	Pseudomonadota
'LIB-MJ231-C6_04.12'	1	Pseudomonadota
'LIB-MJ352-H4_03.24'	1	Pseudomonadota
'LIB-MJ255-B9_02.1'	27	Pseudomonadota
'LIB-MJ337-F9_03.3'	11	Pseudomonadota
'LIB-MJ354-C5_04_v_LIB-MJ403-G2_03.22'	4	Pseudomonadota
'LIB-MJ383-H6_01.31'	9	Pseudomonadota
'LIB-MJ339-C9_03.75'	1	Pseudomonadota
'LIB-MJ226-F6_01.16'	1	Pseudomonadota
'LIB-MJ334-B12_01.32'	1	Bacteroidota
'LIB-MJ196-E8_02.42'	1	Pseudomonadota
'LIB-MJ195-B12_01.1'	1	Pseudomonadota
'LIB-MJ251-F5_04.6'	1	Pseudomonadota
'LIB-MJ343-C4_01_v_LIB-MJ409-E11_01.14'	3	Pseudomonadota
'LIB-MJ227-G10_02.9'	1	Actinomycetota
'LIB-MJ110-D7_04_v_LIB-MJ415-C2_04.10'	7	Pseudomonadota
'LIB-MJ252-E8_02.22'	1	Pseudomonadota
'LIB-MJ139-D5_01.141'	1	Pseudomonadota
'LIB-MJ199-F8_04.18'	1	Pseudomonadota
'LIB-MJ346-D8_02_v_LIB-MJ365-D8_04.36'	5	Pseudomonadota
'LIB-MJ089-C2_02.7'	1	Bacteroidota
'LIB-MJ105-E8_01_v_LIB-MJ367-E8_04.29'	2	Pseudomonadota
'LIB-MJ191-F6_04.37'	2	Pseudomonadota
'LIB-MJ105-H3_01.28'	1	Pseudomonadota
'LIB-MJ383-E6_01.33'	15	Pseudomonadota
'LIB-MJ306-F6_01.12'	31	Pseudomonadota
'LIB-MJ197-D7_03_v_LIB-MJ366-D7_03.32'	1	Pseudomonadota
'LIB-MJ386-F4_04.11'	1	Fusobacteriota
'LIB-MJ389-C11_03.1'	1	Fusobacteriota
'LIB-MJ413-H5_01.46'	1	Nanoarchaeota
'LIB-MJ354-E2_04.3'	3	Nitrospirota
'LIB-MJ413-D7_01.48'	1	Bacteroidota
'LIB-MJ259-A12_04_v_LIB-MJ415-G5_04.7'	1	Nitrospirota
'LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.151'	1	Nitrospirota
'LIB-MJ200-A11_04.1'	10	Nitrospirota
'LIB-MJ231-D3_04.4'	4	Nitrospirota
'LIB-MJ256-D9_03.17'	4	Nitrospirota
'LIB-MJ092-A7_01.4'	1	Nitrospirota
'LIB-MJ337-H2_03.1'	1	Nitrospirota
'LIB-MJ089-D6_02.12'	1	Nitrospirota
'LIB-MJ146-G1_01.1'	1	Nitrospirota
'LIB-MJ108-B8_02.5'	1	Nitrospirota
'LIB-MJ191-D1_04.2'	1	Nitrospirota
'LIB-MJ335-D5_02.7'	2	Nitrospirota
'LIB-MJ228-B2_01.11'	1	Nitrospirota
'LIB-MJ390-H8_03.14'	12	Chloroflexota
'LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.136'	1	Nitrospirota
'LIB-MJ339-F4_03.18'	1	Nitrospirota
'LIB-MJ197-G6_03.4'	1	Nitrospirota
'LIB-MJ226-B7_01.2'	1	Nitrospirota
'LIB-MJ390-D8_03.31'	1	Planctomycetota
'LIB-MJ091-E7_03_v_LIB-MJ403-D9_03.9'	1	Acidobacteriota
'LIB-MJ344-F2_04.11'	1	Acidobacteriota
'LIB-MJ231-C5_04.14'	1	Acidobacteriota
'LIB-MJ256-H7_03.51'	1	Acidobacteriota
'LIB-MJ048-C2_04.10'	1	Nitrospirota
'LIB-MJ390-H7_03.12'	7	Omnitrophota
'LIB-MJ255-F7_02.21'	1	Acidobacteriota
'LIB-MJ280-G4_02.3'	1	Acidobacteriota
'LIB-MJ226-A6_01.4'	1	Pseudomonadota
'LIB-MJ341-G8_02_v_LIB-MJ406-E3_04.2'	1	Pseudomonadota
'LIB-MJ306-G2_01.10'	1	Pseudomonadota
'LIB-MJ413-A7_01.9'	1	Chloroflexota
'LIB-MJ388-H6_02.11'	2	Pseudomonadota
'LIB-MJ388-H6_02.9'	2	Pseudomonadota
'LIB-MJ388-A12_02.21'	1	Pseudomonadota
'LIB-MJ230-D8_03.7'	1	Pseudomonadota
'LIB-MJ390-D9_03.19'	10	Omnitrophota
'LIB-MJ305-H2_04.21'	2	Pseudomonadota
'LIB-MJ389-H5_03.10'	1	Pseudomonadota
'LIB-MJ283-A8_04.3'	1	Pseudomonadota
'LIB-MJ387-F2_01.11'	3	Pseudomonadota
'LIB-MJ352-B11_03.10'	2	Pseudomonadota
'LIB-MJ390-B4_03.20'	1	Pseudomonadota
'LIB-MJ387-F2_01.14'	2	Pseudomonadota
'LIB-MJ386-B10_04.12'	1	Pseudomonadota
'LIB-MJ388-A12_02.38'	3	Pseudomonadota
'LIB-MJ388-F1_02.43'	1	Pseudomonadota
'LIB-MJ390-H8_03.16'	1	Omnitrophota
'LIB-MJ388-G11_02.4'	1	Pseudomonadota
'LIB-MJ388-A6_02.3'	1	Pseudomonadota
'LIB-MJ388-H6_02.15'	1	Pseudomonadota
'LIB-MJ389-D7_03.11'	1	Pseudomonadota
'LIB-MJ388-A12_02.11'	1	Pseudomonadota
'LIB-MJ388-A12_02.3'	4	Pseudomonadota
'LIB-MJ231-B10_04.10'	1	Pseudomonadota
'LIB-MJ352-G9_03.27'	3	Pseudomonadota
'LIB-MJ280-F11_02.8'	1	Pseudomonadota
'LIB-MJ305-D7_04.10'	1	Pseudomonadota
'LIB-MJ413-F9_01.22'	2	Bacteroidota
'LIB-MJ388-A12_02.16'	1	Pseudomonadota
'LIB-MJ389-H4_03.46'	2	Pseudomonadota
'LIB-MJ226-A6_01.15'	4	Pseudomonadota
'LIB-MJ388-F1_02.10'	1	Pseudomonadota
'LIB-MJ388-F1_02.6'	1	Pseudomonadota
'LIB-MJ413-A1_01.27'	1	Pseudomonadota
'LIB-MJ389-C5_03.35'	1	Pseudomonadota
'LIB-MJ389-D7_03.24'	1	Pseudomonadota
'LIB-MJ413-D3_01.5'	1	Pseudomonadota
'LIB-MJ390-A7_03.55'	4	Pseudomonadota
'LIB-MJ191-F7_04.9'	1	Chloroflexota
'LIB-MJ145-A11_01.18'	2	Bacteroidota
'LIB-MJ305-G6_04.22'	1	Pseudomonadota
'LIB-MJ305-C1_04.38'	2	Pseudomonadota
'LIB-MJ352-B10_03.1'	1	Pseudomonadota
'LIB-MJ305-A7_04.44'	14	Pseudomonadota
'LIB-MJ305-F5_04.8'	1	Pseudomonadota
'LIB-MJ388-F6_02.21'	3	Pseudomonadota
'LIB-MJ389-H4_03.26'	1	Pseudomonadota
'LIB-MJ390-B4_03.10'	1	Pseudomonadota
'LIB-MJ413-G5_01.45'	1	Pseudomonadota
'LIB-MJ226-F9_01.2'	1	Pseudomonadota
'LIB-MJ413-C1_01.56'	1	Bacteroidota
'LIB-MJ259-E9_04.2'	1	Pseudomonadota
'LIB-MJ191-H6_04.24'	1	Pseudomonadota
'LIB-MJ388-G5_02.8'	7	Pseudomonadota
'LIB-MJ388-D9_02.9'	1	Pseudomonadota
'LIB-MJ413-G5_01.49'	2	Pseudomonadota
'LIB-MJ334-H7_01.12'	1	Pseudomonadota
'LIB-MJ334-H7_01.14'	1	Pseudomonadota
'LIB-MJ305-A2_04.2'	3	Pseudomonadota
'LIB-MJ147-A3_02.3'	1	Nitrospirota
'LIB-MJ131-H4_01.16'	2	Pseudomonadota
'LIB-MJ390-H7_03.22'	2	Omnitrophota
'LIB-MJ413-D1_01.4'	1	Pseudomonadota
'LIB-MJ387-H1_01.4'	2	Pseudomonadota
'LIB-MJ283-H6_04.23'	2	Pseudomonadota
'LIB-MJ352-A5_03.19'	1	Pseudomonadota
'LIB-MJ354-C4_04_v_LIB-MJ403-A2_03.18'	4	Pseudomonadota
'LIB-MJ388-A10_02.4'	1	Pseudomonadota
'LIB-MJ048-B7_04.1'	1	Pseudomonadota
'LIB-MJ228-G4_01.13'	1	Pseudomonadota
'LIB-MJ390-B4_03.29'	2	Pseudomonadota
'LIB-MJ260-H6_01.31'	1	Pseudomonadota
'LIB-MJ335-B6_02.8'	2	Actinomycetota
'LIB-MJ413-B5_01.1'	1	Pseudomonadota
'LIB-MJ305-H2_04.6'	2	Pseudomonadota
'LIB-MJ354-G6_04_v_LIB-MJ403-H3_03.2'	1	Pseudomonadota
'LIB-MJ138-B7_03.4'	1	Actinomycetota
'LIB-MJ139-C5_01.1'	1	Actinomycetota
'LIB-MJ390-D2_03.2'	1	Actinomycetota
'LIB-MJ413-G3_01.9'	5	Pseudomonadota
'LIB-MJ388-F6_02.14'	1	Pseudomonadota
'LIB-MJ388-F6_02.20'	1	Pseudomonadota
'LIB-MJ193-D9_01.5'	2	Pseudomonadota
'LIB-MJ305-G1_04.43'	2	Bacteroidota
'LIB-MJ283-F6_04.10'	2	Pseudomonadota
'LIB-MJ386-D11_04.8'	2	Pseudomonadota
'LIB-MJ283-H11_04_v_LIB-MJ415-B7_04.6'	1	Pseudomonadota
'LIB-MJ283-G7_04.21'	1	Pseudomonadota
'LIB-MJ106-D11_01.13'	1	Pseudomonadota
