bin	bins_n	phylum
'LIB-MJ344-F2_04.14'	1	Acidobacteriota
'LIB-MJ354-G4_04_v_LIB-MJ403-E2_03.10'	1	Planctomycetota
'LIB-MJ354-G4_04_v_LIB-MJ403-E2_03.11'	1	Planctomycetota
'LIB-MJ389-D7_03.20'	1	Planctomycetota
'LIB-MJ389-D7_03.29'	1	Planctomycetota
'LIB-MJ201-E6_03.29'	1	Myxococcota
'LIB-MJ091-E11_03.4'	1	Actinomycetota
'LIB-MJ335-H9_02.8'	1	Thermoproteota
'LIB-MJ256-B4_03.42'	1	Actinomycetota
'LIB-MJ383-H8_01.88'	2	Actinomycetota
'LIB-MJ198-D1_03.25'	4	Actinomycetota
'LIB-MJ132-C9_03.23'	3	Actinomycetota
'LIB-MJ383-H8_01.10'	2	Actinomycetota
'LIB-MJ386-D4_04.21'	2	Actinomycetota
'LIB-MJ388-H6_02.18'	1	Actinomycetota
'LIB-MJ388-H6_02.25'	1	Actinomycetota
'LIB-MJ413-G5_01.25'	1	Actinomycetota
'LIB-MJ088-E7_04.24'	1	Actinomycetota
'LIB-MJ335-A7_02.17'	2	Patescibacteria
'LIB-MJ388-A12_02.17'	1	Bacteroidota
'LIB-MJ283-B2_04.39'	1	Actinomycetota
'LIB-MJ284-D4_03.15'	1	Actinomycetota
'LIB-MJ390-D5_03.55'	1	Nanoarchaeota
'LIB-MJ389-G6_03.18'	2	Chloroflexota
'LIB-MJ389-G10_03.23'	1	Chloroflexota
'LIB-MJ353-C12_03.3'	1	Chloroflexota
'LIB-MJ306-D7_01.2'	2	Actinomycetota
'LIB-MJ306-D7_01.6'	4	Actinomycetota
'LIB-MJ388-H11_02.13'	1	Actinomycetota
'LIB-MJ306-D7_01.1'	2	Actinomycetota
'LIB-MJ413-H5_01.36'	1	Bacteroidota
'LIB-MJ390-C6_03.66'	10	Actinomycetota
'LIB-MJ088-E7_04.20'	1	Actinomycetota
'LIB-MJ191-C4_04.11'	1	Actinomycetota
'LIB-MJ301-E11_01.4'	1	Actinomycetota
'LIB-MJ341-E5_02_v_LIB-MJ406-B2_04.23'	5	Actinomycetota
'LIB-MJ107-E2_02.13'	1	Actinomycetota
'LIB-MJ337-A10_03.66'	1	Actinomycetota
'LIB-MJ259-A2_04.47'	1	Actinomycetota
'LIB-MJ339-C9_03.51'	1	Actinomycetota
'LIB-MJ338-E1_04.24'	2	Actinomycetota
'LIB-MJ334-A11_01.10'	1	Thermoproteota
'LIB-MJ341-B4_02_v_LIB-MJ367-B4_04.12'	5	Actinomycetota
'LIB-MJ343-H1_01_v_LIB-MJ409-C11_01.5'	2	Actinomycetota
'LIB-MJ337-C4_03.17'	1	Actinomycetota
'LIB-MJ281-C1_01.11'	6	Actinomycetota
'LIB-MJ151-B12_04.2'	1	Actinomycetota
'LIB-MJ200-B11_04.4'	1	Actinomycetota
'LIB-MJ353-B8_03_v_LIB-MJ367-B8_03.7'	1	Actinomycetota
'LIB-MJ226-B4_01.3'	5	Actinomycetota
'LIB-MJ093-A12_02_v_LIB-MJ408-C11_04.5'	1	Actinomycetota
'LIB-MJ354-A1_04_v_LIB-MJ367-A1_04.67'	1	Actinomycetota
'LIB-MJ334-B11_01.22'	1	Thermoproteota
'LIB-MJ133-H8_03.9'	1	Actinomycetota
'LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.239'	1	Actinomycetota
'LIB-MJ093-B9_02.11'	2	Actinomycetota
'LIB-MJ106-H9_01.9'	1	Actinomycetota
'LIB-MJ151-B12_04.15'	1	Actinomycetota
'LIB-MJ201-E6_03.5'	1	Actinomycetota
'LIB-MJ383-H8_01.26'	1	Actinomycetota
'LIB-MJ106-F9_01_v_LIB-MJ368-F9_04.29'	1	Actinomycetota
'LIB-MJ175-D1_02.5'	1	Actinomycetota
'LIB-MJ336-E7_02.15'	1	Actinomycetota
'LIB-MJ352-E7_03_v_LIB-MJ368-E7_01.329'	1	Actinomycetota
'LIB-MJ413-H5_01.74'	1	Thermoproteota
'LIB-MJ051-E2_02.24'	1	Actinomycetota
'LIB-MJ413-G5_01.39'	1	Actinomycetota
'LIB-MJ306-H8_01.30'	4	Actinomycetota
'LIB-MJ055-A6_04.14'	1	Actinomycetota
'LIB-MJ227-E5_02.6'	1	Actinomycetota
'LIB-MJ256-B4_03.24'	2	Actinomycetota
'LIB-MJ259-B6_04.53'	1	Actinomycetota
'LIB-MJ132-H3_03.1'	2	Actinomycetota
'LIB-MJ254-E3_02.18'	1	Actinomycetota
'LIB-MJ255-E5_02.20'	5	Actinomycetota
'LIB-MJ145-H9_01.8'	1	Campylobacterota
'LIB-MJ191-C6_04.12'	1	Campylobacterota
'LIB-MJ253-B4_01_v_LIB-MJ404-E6_03.21'	2	Actinomycetota
'LIB-MJ091-F7_03.30'	2	Actinomycetota
'LIB-MJ347-G2_04_v_LIB-MJ368-G2_03.30'	1	Actinomycetota
'LIB-MJ344-E9_04.23'	1	Actinomycetota
'LIB-MJ354-G5_04.5'	1	Actinomycetota
'LIB-MJ173-C8_01.2'	1	Actinomycetota
'LIB-MJ089-G9_02.33'	1	Actinomycetota
'LIB-MJ105-H3_01.57'	1	Actinomycetota
'LIB-MJ254-B6_02.12'	1	Actinomycetota
'LIB-MJ228-E7_01.6'	1	Actinomycetota
'LIB-MJ253-B4_01_v_LIB-MJ404-E6_03.30'	1	Actinomycetota
'LIB-MJ051-C12_02.3'	4	Actinomycetota
'LIB-MJ284-H6_03.27'	5	Campylobacterota
'LIB-MJ195-F6_01.4'	1	Actinomycetota
'LIB-MJ338-F7_04.10'	1	Actinomycetota
'LIB-MJ253-B4_01_v_LIB-MJ404-E6_03.11'	1	Actinomycetota
'LIB-MJ140-F1_02.11'	1	Actinomycetota
'LIB-MJ307-E4_01.18'	2	Actinomycetota
'LIB-MJ214-E5_02.4'	1	Actinomycetota
'LIB-MJ197-H2_03_v_LIB-MJ415-H8_04.43'	3	Actinomycetota
'LIB-MJ253-B4_01_v_LIB-MJ404-E6_03.15'	1	Actinomycetota
'LIB-MJ051-C11_02.19'	1	Actinomycetota
'LIB-MJ251-C7_04.1'	1	Actinomycetota
'LIB-MJ388-B5_02.7'	3	Campylobacterota
'LIB-MJ172-E7_04.23'	1	Actinomycetota
'LIB-MJ250-H5_04.25'	1	Actinomycetota
'LIB-MJ250-C5_04_v_LIB-MJ365-C5_03.58'	1	Actinomycetota
'LIB-MJ354-H3_04_v_LIB-MJ367-H3_04.51'	1	Actinomycetota
'LIB-MJ105-F7_01.21'	2	Actinomycetota
'LIB-MJ353-H10_03.16'	1	Actinomycetota
'LIB-MJ251-B1_04_v_LIB-MJ409-G7_01.19'	1	Actinomycetota
'LIB-MJ148-E7_02.2'	1	Actinomycetota
'LIB-MJ048-C9_04.18'	1	Actinomycetota
'LIB-MJ177-G1_03.15'	1	Actinomycetota
'LIB-MJ337-D11_03.36'	1	Actinomycetota
'LIB-MJ091-G8_03.8'	1	Actinomycetota
'LIB-MJ110-D2_04_v_LIB-MJ415-F1_04.29'	1	Actinomycetota
'LIB-MJ106-E8_01.27'	1	Campylobacterota
'LIB-MJ193-C8_01.10'	2	Actinomycetota
'LIB-MJ198-F1_03.10'	1	Actinomycetota
'LIB-MJ051-A12_02.9'	2	Actinomycetota
'LIB-MJ227-E2_02.12'	2	Actinomycetota
'LIB-MJ175-B9_02_v_LIB-MJ368-B9_01.1'	1	Actinomycetota
'LIB-MJ137-B9_02.4'	1	Acidobacteriota
'LIB-MJ138-A11_03.14'	1	Acidobacteriota
'LIB-MJ383-H10_01.75'	1	Acidobacteriota
'LIB-MJ413-B1_01.10'	2	Actinomycetota
'LIB-MJ413-B1_01.9'	1	Actinomycetota
'LIB-MJ334-B1_01.13'	22	Campylobacterota
'LIB-MJ138-E11_03.21'	1	Chloroflexota
'LIB-MJ051-G9_02.2'	1	Actinomycetota
'LIB-MJ334-H11_01.9'	1	Actinomycetota
'LIB-MJ093-E10_02.12'	1	Actinomycetota
'LIB-MJ282-C2_03.13'	1	Actinomycetota
'LIB-MJ305-G8_04.14'	1	Actinomycetota
'LIB-MJ352-G9_03.21'	1	Bacillota_E
'LIB-MJ334-D3_01.4'	23	Actinomycetota
'LIB-MJ305-C7_04.48'	36	Actinomycetota
'LIB-MJ305-D4_04.32'	1	Actinomycetota
'LIB-MJ305-E9_04.22'	1	Patescibacteria
'LIB-MJ305-A10_04.24'	1	Campylobacterota
'LIB-MJ390-E7_03.38'	1	Actinomycetota
'LIB-MJ051-E2_02.39'	1	Actinomycetota
'LIB-MJ305-E6_04.1'	1	Actinomycetota
'LIB-MJ389-H4_03.15'	2	Actinomycetota
'LIB-MJ051-A7_02.4'	1	Actinomycetota
'LIB-MJ092-B1_01.1'	1	Actinomycetota
'LIB-MJ353-C12_03.10'	1	Actinomycetota
'LIB-MJ354-G4_04_v_LIB-MJ403-E2_03.1'	1	Actinomycetota
'LIB-MJ259-E10_04.1'	7	Actinomycetota
'LIB-MJ193-E9_01.22'	1	Actinomycetota
'LIB-MJ305-A10_04.16'	1	Campylobacterota
'LIB-MJ193-F7_01.12'	1	Actinomycetota
'LIB-MJ260-H6_01.4'	1	Actinomycetota
